n_requested,n_actual,grid,cells_per_robot,seed,metric,value
10,10,90,810.0,11,steps_run,1500
10,10,90,810.0,11,survivors,9
10,10,90,810.0,11,final_cov,98.51
10,10,90,810.0,11,final_found,8
10,10,90,810.0,11,found_frac,0.889
10,10,90,810.0,11,deaths,3
10,10,90,810.0,11,hazard_deaths,0
10,10,90,810.0,11,battery_deaths,2
10,10,90,810.0,11,peak_relays,6
10,10,90,810.0,11,t_first_found,25
10,10,90,810.0,11,t_half_found,262
10,10,90,810.0,11,t_all_found,-1
10,10,90,810.0,11,completed,0
10,10,90,810.0,11,wall_s,37.1
10,10,90,810.0,11,step_mean_ms,24.725
10,10,90,810.0,11,step_p50_ms,25.124
10,10,90,810.0,11,step_p90_ms,38.957
10,10,90,810.0,11,step_max_ms,89.33
10,10,90,810.0,11,ground_mean_ms,11.008
10,10,90,810.0,11,ground_p90_ms,19.527
10,10,90,810.0,11,astar_sum_mean_ms,13.717
10,10,90,810.0,11,astar_max_mean_ms,4.013
10,10,90,810.0,11,astar_max_p90_ms,6.517
10,10,90,810.0,11,dist_mean_ms,15.021
10,10,90,810.0,11,dist_p90_ms,24.234
10,10,90,810.0,11,role_ms,1.882
10,10,90,810.0,11,alloc_ms,0.303
10,10,90,810.0,11,relay_cover_ms,0.144
10,10,90,810.0,11,explorer_move_ms,16.938
10,10,90,810.0,11,relay_move_ms,0.235
10,10,90,810.0,11,astar_explorer_ms,13.673
10,10,90,810.0,11,astar_relay_ms,0.043
10,10,90,810.0,11,other_ms,5.223
10,10,90,810.0,11,step_ms_per_robot,2.4725
10,10,90,810.0,11,ground_ms_per_robot,1.1008
10,10,90,810.0,11,role_ms_per_robot,0.1882
10,10,90,810.0,11,alloc_ms_per_robot,0.0303
10,10,90,810.0,11,relay_cover_ms_per_robot,0.0144
10,10,90,810.0,11,explorer_move_ms_per_robot,1.6938
10,10,90,810.0,11,relay_move_ms_per_robot,0.0235
10,10,90,810.0,12,steps_run,1500
10,10,90,810.0,12,survivors,9
10,10,90,810.0,12,final_cov,97.73
10,10,90,810.0,12,final_found,8
10,10,90,810.0,12,found_frac,0.889
10,10,90,810.0,12,deaths,2
10,10,90,810.0,12,hazard_deaths,0
10,10,90,810.0,12,battery_deaths,2
10,10,90,810.0,12,peak_relays,6
10,10,90,810.0,12,t_first_found,86
10,10,90,810.0,12,t_half_found,210
10,10,90,810.0,12,t_all_found,-1
10,10,90,810.0,12,completed,0
10,10,90,810.0,12,wall_s,41.1
10,10,90,810.0,12,step_mean_ms,27.421
10,10,90,810.0,12,step_p50_ms,27.013
10,10,90,810.0,12,step_p90_ms,45.964
10,10,90,810.0,12,step_max_ms,87.142
10,10,90,810.0,12,ground_mean_ms,8.878
10,10,90,810.0,12,ground_p90_ms,12.715
10,10,90,810.0,12,astar_sum_mean_ms,18.544
10,10,90,810.0,12,astar_max_mean_ms,4.412
10,10,90,810.0,12,astar_max_p90_ms,6.989
10,10,90,810.0,12,dist_mean_ms,13.29
10,10,90,810.0,12,dist_p90_ms,17.9
10,10,90,810.0,12,role_ms,0.992
10,10,90,810.0,12,alloc_ms,0.265
