n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
10,10,90,810.0,41,1500,9,91.79,8,0.889,4,0,4,5,26,60,-1,0,41.0,27.328,30.2,36.976,74.613,9.476,14.388,17.852,4.169,6.121,13.645,18.649,1.373,0.455,0.068,20.041,0.634,17.568,0.284,4.757,2.7328,0.9476,0.1373,0.0455,0.0068,2.0041,0.0634
10,10,90,810.0,42,503,9,93.7,9,1.0,0,0,0,6,49,138,503,1,9.0,17.806,15.386,28.397,52.78,13.231,17.953,4.575,2.773,7.242,16.004,22.902,1.274,0.335,0.17,5.727,0.568,4.356,0.219,9.732,1.7806,1.3231,0.1274,0.0335,0.017,0.5727,0.0568
10,10,90,810.0,43,1500,9,96.17,7,0.778,3,0,2,6,1,118,-1,0,43.3,28.867,29.328,47.05,73.15,11.006,14.727,17.861,5.148,8.056,16.154,22.107,1.388,0.33,0.044,20.298,0.417,17.737,0.124,6.391,2.8867,1.1006,0.1388,0.033,0.0044,2.0298,0.0417
10,10,90,810.0,44,1500,9,95.99,7,0.778,1,0,1,6,4,163,-1,0,42.8,28.519,27.642,38.534,72.881,12.283,16.481,16.236,4.151,6.226,16.434,21.431,1.664,0.4,0.065,19.992,0.508,16.01,0.226,5.889,2.8519,1.2283,0.1664,0.04,0.0065,1.9992,0.0508
10,10,90,810.0,45,1500,9,91.14,8,0.889,2,0,2,6,19,181,-1,0,17.3,11.546,9.188,20.413,58.627,9.426,15.132,2.12,1.232,2.457,10.658,17.863,1.664,0.859,0.126,3.111,0.811,2.081,0.039,4.974,1.1546,0.9426,0.1664,0.0859,0.0126,0.3111,0.0811
10,10,90,810.0,46,1500,9,96.65,8,0.889,2,0,1,6,17,318,-1,0,61.9,41.285,46.819,61.719,135.651,11.689,15.228,29.596,5.586,8.792,17.275,22.566,1.097,0.45,0.117,32.815,0.803,29.207,0.39,6.003,4.1285,1.1689,0.1097,0.045,0.0117,3.2815,0.0803
10,10,90,810.0,47,1500,9,94.49,4,0.444,4,1,3,6,13,1019,-1,0,36.4,24.277,22.979,41.004,76.646,12.592,19.06,11.684,3.553,6.646,16.145,24.256,3.038,0.49,0.066,14.419,0.59,11.338,0.346,5.673,2.4277,1.2592,0.3038,0.049,0.0066,1.4419,0.059
10,10,90,810.0,48,529,9,97.44,9,1.0,0,0,0,5,70,163,529,1,11.5,21.766,20.158,34.165,80.858,14.512,19.796,7.254,2.739,6.064,17.251,23.712,2.207,0.735,0.273,9.281,0.364,7.204,0.05,8.906,2.1766,1.4512,0.2207,0.0735,0.0273,0.9281,0.0364
10,10,90,810.0,49,666,9,94.94,9,1.0,1,1,0,5,1,189,666,1,19.2,28.854,28.745,43.651,68.043,13.895,18.212,14.959,4.017,6.697,17.912,23.917,2.868,0.523,0.242,17.818,0.525,14.754,0.206,6.877,2.8854,1.3895,0.2868,0.0523,0.0242,1.7818,0.0525
10,10,90,810.0,50,1500,9,99.09,7,0.778,5,1,4,6,95,142,-1,0,46.6,31.075,33.758,49.947,73.024,10.981,17.1,20.094,5.401,8.047,16.382,24.051,1.614,0.282,0.063,23.293,0.234,20.083,0.011,5.588,3.1075,1.0981,0.1614,0.0282,0.0063,2.3293,0.0234
10,10,90,810.0,51,1500,9,97.94,8,0.889,4,1,2,5,20,88,-1,0,37.7,25.121,24.458,43.793,119.799,10.327,16.123,14.794,4.419,7.589,14.746,22.34,1.893,0.388,0.098,16.867,0.284,14.73,0.063,5.591,2.5121,1.0327,0.1893,0.0388,0.0098,1.6867,0.0284
10,10,90,810.0,52,1500,9,93.85,8,0.889,4,1,3,6,42,174,-1,0,51.1,34.046,35.399,49.475,107.672,9.623,14.724,24.423,5.943,8.551,15.567,21.095,1.358,0.3,0.058,27.1,0.272,24.406,0.017,4.959,3.4046,0.9623,0.1358,0.03,0.0058,2.71,0.0272
10,10,90,810.0,53,1500,9,99.12,8,0.889,2,0,2,4,16,60,-1,0,40.1,26.71,23.187,48.6,81.081,10.649,16.391,16.062,5.5,7.962,16.148,23.191,2.092,0.31,0.063,19.001,0.198,16.052,0.01,5.045,2.671,1.0649,0.2092,0.031,0.0063,1.9001,0.0198
10,10,90,810.0,54,1500,9,93.94,6,0.667,3,1,2,6,12,101,-1,0,32.8,21.869,20.877,30.443,53.464,10.662,15.462,11.207,3.577,6.592,14.238,19.481,1.112,0.326,0.061,14.245,1.126,10.521,0.686,5.0,2.1869,1.0662,0.1112,0.0326,0.0061,1.4245,0.1126
10,10,90,810.0,55,1500,9,95.28,4,0.444,2,1,1,3,129,566,-1,0,48.7,32.448,30.071,49.599,80.302,11.996,16.245,20.452,5.455,7.354,17.451,22.643,1.779,0.379,0.013,23.38,0.32,20.314,0.138,6.577,3.2448,1.1996,0.1779,0.0379,0.0013,2.338,0.032
10,10,90,810.0,56,1081,9,91.58,9,1.0,3,0,3,6,7,170,1081,1,20.0,18.508,16.439,28.005,71.427,12.2,16.748,6.308,2.671,5.836,14.872,20.863,1.47,0.56,0.134,9.228,0.4,6.286,0.021,6.716,1.8508,1.22,0.147,0.056,0.0134,0.9228,0.04
10,10,90,810.0,57,351,9,74.46,9,1.0,0,0,0,6,24,114,351,1,8.0,22.809,19.968,37.203,65.388,16.01,22.192,6.799,3.503,7.912,19.514,27.779,3.171,0.598,0.251,8.211,0.502,6.756,0.042,10.076,2.2809,1.601,0.3171,0.0598,0.0251,0.8211,0.0502
10,10,90,810.0,58,1500,9,95.07,8,0.889,3,1,2,6,36,156,-1,0,34.9,23.26,23.551,34.897,73.696,10.327,15.145,12.933,3.505,6.148,13.833,19.885,1.758,0.357,0.094,14.072,1.486,11.92,1.013,5.494,2.326,1.0327,0.1758,0.0357,0.0094,1.4072,0.1486
10,10,90,810.0,59,706,9,85.01,9,1.0,1,0,1,6,13,410,706,1,15.5,22.004,21.46,30.744,55.504,13.737,18.815,8.267,2.302,4.131,16.039,21.778,1.47,0.606,0.3,11.99,0.483,8.191,0.075,7.154,2.2004,1.3737,0.147,0.0606,0.03,1.199,0.0483
10,10,90,810.0,60,1500,9,95.56,5,0.556,2,0,2,6,112,232,-1,0,37.8,25.182,25.21,37.094,96.126,11.077,14.663,14.105,3.615,6.305,14.692,19.834,1.446,0.4,0.072,16.28,0.244,14.091,0.013,6.74,2.5182,1.1077,0.1446,0.04,0.0072,1.628,0.0244
10,10,90,810.0,61,1500,9,95.2,6,0.667,3,0,3,6,7,112,-1,0,41.0,27.341,26.095,42.128,67.458,12.505,17.951,14.836,4.221,6.49,16.726,22.694,1.69,0.399,0.072,17.569,0.76,14.366,0.47,6.85,2.7341,1.2505,0.169,0.0399,0.0072,1.7569,0.076
10,10,90,810.0,62,673,9,90.9,9,1.0,1,0,1,6,88,359,673,1,13.1,19.524,15.845,32.744,63.255,13.348,18.15,6.176,2.773,6.963,16.121,22.851,2.63,0.442,0.24,7.77,0.469,6.124,0.052,7.974,1.9524,1.3348,0.263,0.0442,0.024,0.777,0.0469
10,10,90,810.0,63,947,9,95.68,9,1.0,2,2,0,5,40,82,947,1,21.0,22.221,20.397,38.826,59.959,11.538,16.715,10.683,3.895,7.337,15.433,20.814,1.709,0.496,0.141,13.595,0.324,10.656,0.027,5.955,2.2221,1.1538,0.1709,0.0496,0.0141,1.3595,0.0324
10,10,90,810.0,64,881,9,93.12,9,1.0,2,0,2,6,33,480,881,1,22.5,25.572,24.953,44.017,67.042,11.714,15.331,13.858,4.985,7.969,16.698,22.761,1.572,0.321,0.125,15.954,0.36,13.814,0.045,7.24,2.5572,1.1714,0.1572,0.0321,0.0125,1.5954,0.036
10,10,90,810.0,65,1500,9,97.99,6,0.667,2,0,2,5,1,178,-1,0,24.9,16.572,11.28,37.609,72.101,7.823,12.838,8.749,2.702,6.731,10.525,18.69,0.99,0.237,0.062,10.967,0.242,8.737,0.012,4.074,1.6572,0.7823,0.099,0.0237,0.0062,1.0967,0.0242
10,10,90,810.0,66,1500,9,97.01,6,0.667,1,1,0,5,1,216,-1,0,36.5,24.352,26.188,35.05,62.287,8.951,12.458,15.401,5.031,7.529,13.982,18.321,1.712,0.26,0.075,17.128,0.658,15.285,0.116,4.519,2.4352,0.8951,0.1712,0.026,0.0075,1.7128,0.0658
10,10,90,810.0,67,1002,9,90.41,9,1.0,2,1,1,7,37,67,1002,1,23.6,23.579,22.376,37.034,61.105,11.75,15.883,11.829,3.753,6.561,15.503,21.33,0.952,0.5,0.219,13.802,1.299,10.95,0.879,6.807,2.3579,1.175,0.0952,0.05,0.0219,1.3802,0.1299
10,10,90,810.0,68,317,9,69.46,9,1.0,0,0,0,5,21,69,317,1,5.5,17.362,15.455,25.72,48.807,14.793,18.993,2.569,1.716,6.781,16.508,22.22,4.176,0.436,0.324,4.056,0.533,2.48,0.089,7.836,1.7362,1.4793,0.4176,0.0436,0.0324,0.4056,0.0533
10,10,90,810.0,69,1500,9,99.31,8,0.889,6,0,4,6,1,100,-1,0,19.4,12.956,11.719,22.21,62.349,8.694,14.493,4.261,1.93,3.771,10.624,17.614,0.979,0.365,0.176,5.704,0.735,3.837,0.425,4.997,1.2956,0.8694,0.0979,0.0365,0.0176,0.5704,0.0735
10,10,90,810.0,70,1500,9,94.19,6,0.667,4,0,3,6,1,97,-1,0,52.3,34.843,31.912,58.609,100.645,11.333,16.054,23.51,5.556,8.088,16.889,23.26,1.491,0.531,0.073,25.714,0.751,23.057,0.452,6.282,3.4843,1.1333,0.1491,0.0531,0.0073,2.5714,0.0751
10,10,90,810.0,71,539,9,89.38,9,1.0,0,0,0,6,146,254,539,1,8.6,15.919,13.776,26.461,60.271,12.48,16.183,3.438,1.943,6.234,14.424,19.904,2.002,0.491,0.182,4.66,0.924,3.013,0.426,7.661,1.5919,1.248,0.2002,0.0491,0.0182,0.466,0.0924
10,10,90,810.0,72,1500,9,95.65,7,0.778,2,1,1,5,13,210,-1,0,62.8,41.893,45.527,59.926,113.252,10.436,16.017,31.457,6.005,8.859,16.441,22.054,1.39,0.566,0.112,35.072,0.242,31.429,0.028,4.51,4.1893,1.0436,0.139,0.0566,0.0112,3.5072,0.0242
10,10,90,810.0,73,1451,9,98.37,9,1.0,3,0,2,5,25,143,1451,1,30.8,21.245,19.415,33.942,57.019,9.747,15.268,11.498,3.547,6.382,13.294,19.393,1.318,0.416,0.132,14.184,0.273,11.427,0.07,4.921,2.1245,0.9747,0.1318,0.0416,0.0132,1.4184,0.0273
10,10,90,810.0,74,1500,9,94.68,6,0.667,3,1,2,7,10,370,-1,0,33.6,22.416,20.818,37.955,65.63,10.104,14.995,12.312,3.959,7.224,14.063,20.39,1.104,0.395,0.197,14.923,0.321,12.268,0.044,5.476,2.2416,1.0104,0.1104,0.0395,0.0197,1.4923,0.0321
10,10,90,810.0,75,1500,9,93.58,6,0.667,2,1,1,6,98,282,-1,0,43.3,28.877,27.208,43.413,72.318,13.683,17.962,15.194,3.739,6.822,17.421,22.78,2.401,0.432,0.071,19.354,0.227,15.183,0.011,6.392,2.8877,1.3683,0.2401,0.0432,0.0071,1.9354,0.0227
10,10,90,810.0,76,1500,9,93.21,5,0.556,2,0,2,5,11,617,-1,0,53.9,35.911,35.256,57.674,90.837,12.407,16.162,23.504,5.563,8.132,17.97,23.768,2.394,0.472,0.055,26.022,0.246,23.492,0.011,6.721,3.5911,1.2407,0.2394,0.0472,0.0055,2.6022,0.0246
10,10,90,810.0,77,1500,9,98.11,8,0.889,4,0,3,6,64,220,-1,0,30.7,20.459,18.276,34.311,64.711,11.248,16.158,9.211,3.509,7.056,14.757,21.919,2.952,0.46,0.169,10.876,0.261,9.172,0.039,5.739,2.0459,1.1248,0.2952,0.046,0.0169,1.0876,0.0261
10,10,90,810.0,78,1378,9,95.63,9,1.0,2,0,1,5,50,113,1378,1,72.1,52.303,55.048,72.729,119.612,11.767,14.941,40.535,6.902,9.946,18.669,23.885,1.576,0.384,0.065,43.292,0.34,40.504,0.031,6.646,5.2303,1.1767,0.1576,0.0384,0.0065,4.3292,0.034
10,10,90,810.0,79,1500,9,93.63,5,0.556,0,0,0,6,90,427,-1,0,69.4,46.238,50.549,61.796,107.117,17.509,21.958,28.729,5.808,8.262,23.317,28.898,5.801,0.419,0.078,32.487,0.583,28.71,0.019,6.87,4.6238,1.7509,0.5801,0.0419,0.0078,3.2487,0.0583
10,10,90,810.0,80,879,9,99.8,9,1.0,3,0,3,5,13,129,879,1,11.2,12.785,12.411,20.302,44.798,10.377,15.763,2.408,1.554,3.668,11.93,18.329,1.167,0.321,0.152,3.211,1.046,1.697,0.711,6.889,1.2785,1.0377,0.1167,0.0321,0.0152,0.3211,0.1046
20,20,126,793.8,41,532,18,95.96,18,1.0,0,0,0,5,19,107,532,1,33.5,62.998,56.338,106.994,183.885,34.338,45.834,28.66,9.843,16.476,44.182,60.585,4.168,2.394,0.504,33.309,0.86,28.482,0.177,21.763,3.1499,1.7169,0.2084,0.1197,0.0252,1.6654,0.043
20,20,126,793.8,42,626,18,94.87,18,1.0,1,0,1,6,1,45,626,1,44.9,71.737,53.057,142.632,232.152,34.382,48.215,37.355,9.473,17.003,43.855,64.104,3.28,2.771,0.484,45.531,1.003,37.146,0.209,18.669,3.5868,1.7191,0.164,0.1385,0.0242,2.2765,0.0501
20,20,126,793.8,43,506,18,94.34,18,1.0,0,0,0,7,14,131,506,1,23.1,45.616,40.087,73.527,140.418,34.142,46.64,11.474,5.498,12.931,39.64,55.919,3.512,2.698,0.637,15.351,1.06,11.231,0.243,22.358,2.2808,1.7071,0.1756,0.1349,0.0319,0.7676,0.053
20,20,126,793.8,44,535,18,94.66,18,1.0,1,0,1,6,14,85,535,1,26.2,49.001,43.655,80.834,173.024,34.501,47.807,14.499,7.372,14.288,41.873,60.577,3.55,3.059,0.253,15.399,4.121,11.497,3.002,22.617,2.45,1.7251,0.1775,0.153,0.0127,0.77,0.2061
20,20,126,793.8,45,683,18,93.78,18,1.0,7,1,6,6,27,157,683,1,46.1,67.483,61.842,108.755,190.064,32.352,42.794,35.131,10.214,15.37,42.566,58.155,2.991,2.47,0.153,35.166,6.336,30.341,4.79,20.367,3.3742,1.6176,0.1495,0.1235,0.0076,1.7583,0.3168
20,20,126,793.8,46,1500,18,99.93,17,0.944,8,0,5,6,33,124,-1,0,74.1,49.42,33.107,112.967,251.078,22.6,37.7,26.82,6.369,14.891,28.969,50.328,2.391,1.571,0.304,32.379,0.578,26.633,0.187,12.197,2.471,1.13,0.1195,0.0785,0.0152,1.619,0.0289
20,20,126,793.8,47,1500,18,99.8,16,0.889,8,1,7,6,44,114,-1,0,86.8,57.882,54.107,105.428,208.477,28.787,45.327,29.095,7.99,15.051,36.777,56.567,6.018,1.64,0.291,35.232,0.623,28.978,0.118,14.079,2.8941,1.4393,0.3009,0.082,0.0145,1.7616,0.0311
