variant,seed,steps_ran,survivors,found,found_pct,cov_pct,stair_pct,completed,deadline,found_deadline,found_deadline_pct,cov_deadline,t_first_found,t_half_found,t_all_found,t_cov90,t_stair50,deaths,hazard_deaths,stranded_end,blackout_total,blackout_max,relay_duty_ticks,battery_used,step_mean_ms,step_p90_ms,wall_s
A0-FULL,51,1162,45,45,100.0,97.59,100.0,1,250,37,82.22,72.05,3,94,1162,450,100,5,5,0,233,122,6609,42444.0,860.12,1582.58,999.5
A0-FULL,52,858,45,45,100.0,96.8,98.37,1,250,31,68.89,66.67,7,126,858,575,100,7,7,0,989,231,5963,38587.2,285.72,640.84,245.2
A0-FULL,53,922,45,45,100.0,96.91,99.71,1,250,38,84.44,72.35,1,131,922,550,125,7,7,0,145,23,4797,37727.2,371.91,1049.2,342.9
A0-FULL,54,1292,45,45,100.0,95.14,99.89,1,250,38,84.44,63.94,1,109,1292,750,125,14,10,0,24,16,7516,43165.1,419.7,820.49,542.3
A0-FULL,55,1500,45,44,97.78,97.14,99.77,0,250,35,77.78,64.63,1,100,-1,575,100,13,9,1,274,52,9268,47868.9,489.04,846.7,733.6
A0-FULL,56,1500,45,44,97.78,98.05,99.38,0,250,36,80.0,67.9,8,84,-1,500,100,6,3,0,4,1,9862,49544.4,847.86,1401.93,1271.8
A0-FULL,57,1500,45,44,97.78,96.68,99.92,0,250,39,86.67,63.19,1,87,-1,650,150,10,7,0,137,81,8534,42122.7,686.99,1359.03,1030.5
A0-FULL,58,1500,45,44,97.78,97.41,100.0,0,250,32,71.11,66.06,1,199,-1,650,175,7,5,0,2,1,8266,44034.6,847.64,1593.1,1271.5
A0-FULL,59,807,45,45,100.0,94.89,98.71,1,250,37,82.22,68.83,8,125,807,625,125,8,8,0,288,92,6021,37990.4,195.48,358.52,157.8
A0-FULL,60,1500,45,44,97.78,97.39,100.0,0,250,34,75.56,71.49,19,100,-1,500,50,9,8,0,4,4,6273,38451.9,857.29,1568.9,1286.0
A0-FULL,61,849,45,45,100.0,99.51,100.0,1,250,31,68.89,71.71,5,146,849,500,175,9,9,0,2,1,4804,34984.8,412.75,1006.83,350.5
A0-FULL,62,645,45,45,100.0,96.52,99.0,1,250,39,86.67,70.17,3,88,645,425,75,0,0,1,170,52,3965,31728.8,384.37,1003.18,247.9
A0-FULL,63,319,45,45,100.0,72.19,100.0,1,250,41,91.11,63.74,1,86,319,-1,75,1,1,0,235,117,2422,17378.4,178.85,287.91,57.1
A0-FULL,64,1234,45,45,100.0,99.16,99.89,1,250,37,82.22,61.93,6,116,1234,625,150,11,5,0,86,14,8353,45869.2,375.66,737.3,463.6
A0-FULL,65,840,45,45,100.0,97.5,100.0,1,250,32,71.11,70.51,1,123,840,500,100,6,6,0,11,8,6425,34432.7,310.99,607.55,261.3
A0-FULL,66,709,45,45,100.0,95.42,99.47,1,250,37,82.22,67.57,1,112,709,575,100,4,4,0,3,1,3931,29493.2,241.36,399.08,171.2
A0-FULL,67,1500,45,41,91.11,97.39,79.88,0,250,34,75.56,73.42,1,83,-1,525,100,16,6,0,146,59,8367,50952.3,640.42,1189.6,960.7
A0-FULL,68,717,45,45,100.0,97.35,99.3,1,250,37,82.22,70.85,1,125,717,475,125,5,5,0,2,1,3981,34298.3,304.9,554.79,218.6
A0-FULL,69,1500,45,44,97.78,98.36,100.0,0,250,38,84.44,78.88,1,80,-1,375,75,0,0,0,1,1,5992,38886.5,1443.25,2363.26,2164.9
A0-FULL,70,1500,45,44,97.78,97.36,100.0,0,250,35,77.78,67.24,1,116,-1,600,125,14,10,1,944,660,9616,43162.5,652.57,1109.65,978.9
A1-NOCLUS,51,1500,45,43,95.56,98.35,100.0,0,250,41,91.11,74.08,5,85,-1,450,75,11,8,0,110,26,7126,42745.9,1036.48,1735.31,1554.8
A1-NOCLUS,52,1500,45,44,97.78,98.56,100.0,0,250,39,86.67,71.71,7,106,-1,500,75,8,6,0,797,174,6861,46168.0,932.63,1656.08,1399.0
A1-NOCLUS,53,1500,45,44,97.78,97.01,100.0,0,250,32,71.11,70.59,1,125,-1,475,100,7,4,0,141,23,6130,42192.8,994.63,1722.43,1492.0
A1-NOCLUS,54,488,45,45,100.0,88.17,99.02,1,250,38,84.44,70.9,1,101,488,-1,150,5,5,0,74,59,3383,22856.4,220.28,379.86,107.5
A1-NOCLUS,55,762,45,45,100.0,93.14,99.47,1,250,35,77.78,63.03,1,69,762,575,75,5,5,0,89,20,6022,34011.8,289.33,523.95,220.5
A1-NOCLUS,56,1500,45,43,95.56,97.37,90.9,0,250,38,84.44,68.0,12,85,-1,450,100,7,5,0,2,1,5973,42356.8,1124.44,1996.55,1686.7
A1-NOCLUS,57,548,45,45,100.0,88.91,99.34,1,250,36,80.0,65.05,1,105,548,-1,125,2,2,0,150,86,4170,23699.4,240.72,354.25,131.9
A1-NOCLUS,58,1500,45,43,95.56,97.88,100.0,0,250,26,57.78,63.48,1,211,-1,575,125,10,10,0,2,2,7937,42838.2,800.0,1285.64,1200.1
A1-NOCLUS,59,532,45,45,100.0,92.01,99.21,1,250,35,77.78,72.14,14,124,532,500,100,3,3,1,427,236,4085,26999.7,270.96,510.05,144.2
A1-NOCLUS,60,1500,45,44,97.78,98.03,99.28,0,250,36,80.0,72.84,18,75,-1,500,75,6,6,0,20,15,5825,41588.6,1110.82,1970.61,1666.3
A1-NOCLUS,61,1500,45,44,97.78,99.78,99.75,0,250,37,82.22,77.23,3,121,-1,400,200,16,10,0,36,22,6544,46387.3,542.81,959.2,814.3
A1-NOCLUS,62,1500,45,44,97.78,96.23,98.54,0,250,40,88.89,72.29,2,81,-1,425,75,2,2,2,2335,945,6603,40147.5,1317.75,2139.7,1976.7
A1-NOCLUS,63,348,45,45,100.0,75.22,98.78,1,250,36,80.0,65.77,1,78,348,-1,75,1,1,0,65,12,2558,18255.0,193.2,338.43,67.2
A1-NOCLUS,64,1337,45,45,100.0,99.17,99.68,1,250,37,82.22,69.81,6,108,1337,500,100,10,8,0,248,87,7810,46601.2,583.59,1114.16,780.3
A1-NOCLUS,65,647,45,45,100.0,96.63,98.44,1,250,39,86.67,74.7,1,138,647,425,100,5,5,0,198,99,4134,28778.4,251.49,526.19,162.7
A1-NOCLUS,66,478,45,45,100.0,91.13,99.89,1,250,36,80.0,66.03,1,106,478,475,125,2,2,0,21,21,2882,23032.0,216.64,334.96,103.6
A1-NOCLUS,67,1500,45,44,97.78,98.25,99.13,0,250,33,73.33,71.26,1,78,-1,525,75,19,7,0,227,44,6857,49461.5,605.58,1154.17,908.4
A1-NOCLUS,68,1500,45,44,97.78,99.2,99.2,0,250,39,86.67,71.37,1,82,-1,475,75,7,7,0,35,21,5869,42696.7,1008.63,1916.47,1513.0
A1-NOCLUS,69,1500,45,44,97.78,98.67,99.85,0,250,42,93.33,80.34,1,84,-1,375,75,1,1,0,2,1,4183,40081.4,1376.6,2185.04,2065.0
A1-NOCLUS,70,602,45,45,100.0,93.36,98.86,1,250,37,82.22,68.74,1,126,602,525,100,5,5,0,237,225,4190,30095.1,249.71,500.8,150.3
A2-GREEDY,51,693,45,45,100.0,94.56,99.87,1,250,37,82.22,75.79,10,126,693,500,175,2,2,0,127,24,4252,30092.6,616.28,1048.71,427.1
A2-GREEDY,52,1500,45,44,97.78,98.87,99.9,0,250,32,71.11,70.29,11,103,-1,450,150,10,9,0,68,21,8958,43908.1,888.62,1468.53,1333.0
A2-GREEDY,53,744,45,45,100.0,97.94,98.85,1,250,36,80.0,70.04,1,171,744,550,175,5,5,0,147,23,4074,32493.4,412.81,813.43,307.2
A2-GREEDY,54,361,45,45,100.0,82.49,97.29,1,250,38,84.44,72.62,1,115,361,-1,150,3,3,0,23,22,2771,17455.6,193.82,273.57,70.0
A2-GREEDY,55,1398,45,45,100.0,96.44,99.24,1,250,29,64.44,65.34,1,168,1398,625,225,11,8,0,177,52,10210,46646.9,531.66,822.55,743.3
A2-GREEDY,56,817,45,45,100.0,95.16,99.53,1,250,31,68.89,74.02,5,190,817,425,275,4,4,0,9,4,6616,31534.8,588.07,1211.76,480.5
A2-GREEDY,57,1500,45,44,97.78,96.99,100.0,0,250,35,77.78,64.06,1,162,-1,525,225,11,10,0,141,71,10334,40222.1,645.82,1074.08,968.8
A2-GREEDY,58,1500,45,44,97.78,97.38,99.71,0,250,31,68.89,68.92,1,173,-1,550,175,19,16,0,9,3,9032,38878.3,649.64,960.31,974.5
A2-GREEDY,59,471,45,45,100.0,89.13,97.82,1,250,37,82.22,73.43,13,182,471,-1,200,6,6,1,163,37,3821,24283.7,191.66,326.47,90.3
