variant,seed,step,metric,value
A0-FULL,51,1,coverage_pct,3.055
A0-FULL,51,25,coverage_pct,17.8525
A0-FULL,51,50,coverage_pct,30.65
A0-FULL,51,75,coverage_pct,39.6125
A0-FULL,51,100,coverage_pct,47.1275
A0-FULL,51,125,coverage_pct,52.800000000000004
A0-FULL,51,150,coverage_pct,57.845
A0-FULL,51,175,coverage_pct,61.934999999999995
A0-FULL,51,200,coverage_pct,65.8625
A0-FULL,51,225,coverage_pct,68.6975
A0-FULL,51,250,coverage_pct,72.045
A0-FULL,51,275,coverage_pct,75.19500000000001
A0-FULL,51,300,coverage_pct,77.60249999999999
A0-FULL,51,325,coverage_pct,79.8625
A0-FULL,51,350,coverage_pct,83.155
A0-FULL,51,375,coverage_pct,85.46249999999999
A0-FULL,51,400,coverage_pct,86.63
A0-FULL,51,425,coverage_pct,88.5425
A0-FULL,51,450,coverage_pct,90.3725
A0-FULL,51,475,coverage_pct,91.6275
A0-FULL,51,500,coverage_pct,92.25750000000001
A0-FULL,51,525,coverage_pct,92.86
A0-FULL,51,550,coverage_pct,93.61500000000001
A0-FULL,51,575,coverage_pct,94.2075
A0-FULL,51,600,coverage_pct,94.51
A0-FULL,51,625,coverage_pct,94.8475
A0-FULL,51,650,coverage_pct,95.175
A0-FULL,51,675,coverage_pct,95.6
A0-FULL,51,700,coverage_pct,95.825
A0-FULL,51,725,coverage_pct,96.04
A0-FULL,51,750,coverage_pct,96.3325
A0-FULL,51,775,coverage_pct,96.78
A0-FULL,51,800,coverage_pct,96.89
A0-FULL,51,825,coverage_pct,96.89750000000001
A0-FULL,51,850,coverage_pct,96.9025
A0-FULL,51,875,coverage_pct,96.9325
A0-FULL,51,900,coverage_pct,96.9325
A0-FULL,51,925,coverage_pct,96.9325
A0-FULL,51,950,coverage_pct,96.9325
A0-FULL,51,975,coverage_pct,96.935
A0-FULL,51,1000,coverage_pct,97.00999999999999
A0-FULL,51,1025,coverage_pct,97.0525
A0-FULL,51,1050,coverage_pct,97.0625
A0-FULL,51,1075,coverage_pct,97.065
A0-FULL,51,1100,coverage_pct,97.255
A0-FULL,51,1125,coverage_pct,97.37
A0-FULL,51,1150,coverage_pct,97.4225
A0-FULL,51,1,found,0
A0-FULL,51,25,found,3
A0-FULL,51,50,found,9
A0-FULL,51,75,found,14
A0-FULL,51,100,found,27
A0-FULL,51,125,found,31
A0-FULL,51,150,found,31
A0-FULL,51,175,found,32
A0-FULL,51,200,found,34
A0-FULL,51,225,found,36
A0-FULL,51,250,found,37
A0-FULL,51,275,found,37
A0-FULL,51,300,found,38
A0-FULL,51,325,found,39
A0-FULL,51,350,found,40
A0-FULL,51,375,found,40
A0-FULL,51,400,found,41
A0-FULL,51,425,found,41
A0-FULL,51,450,found,42
A0-FULL,51,475,found,42
A0-FULL,51,500,found,42
A0-FULL,51,525,found,42
A0-FULL,51,550,found,42
A0-FULL,51,575,found,42
A0-FULL,51,600,found,42
A0-FULL,51,625,found,42
A0-FULL,51,650,found,42
A0-FULL,51,675,found,42
A0-FULL,51,700,found,43
A0-FULL,51,725,found,43
A0-FULL,51,750,found,43
A0-FULL,51,775,found,43
A0-FULL,51,800,found,44
A0-FULL,51,825,found,44
A0-FULL,51,850,found,44
A0-FULL,51,875,found,44
