seed,tick,n_active,n_changed,to_relay,from_relay,from_loiter,W_eq,W_best,welfare_gap_per_robot,efficiency,plateau_gain
1,100,12,6,4,2,0,2.538,108.978,9.7195,-8.7195,0.0
1,200,12,10,4,4,0,143.158,197.71,0.3552,0.6448,0.0
1,300,12,10,4,2,0,-6.968,9.962,1.8962,-0.8962,0.0
1,450,12,9,5,1,1,87.542,208.472,1.0649,-0.0649,0.0
1,600,10,4,2,1,1,204.039,213.685,0.0449,0.9551,0.0
1,800,8,4,2,1,0,14.744,23.518,0.5753,0.4247,0.0
1,1200,5,2,0,1,0,11.666,14.144,0.1868,0.8132,0.0
1,1600,5,5,0,2,0,5.382,7.864,0.3555,0.6445,0.0
1,2000,5,4,2,1,0,2.422,4.89,0.6127,0.3873,0.0
2,100,12,12,2,6,0,42.923,56.439,0.221,0.779,0.0
2,200,12,8,1,3,0,47.185,61.348,0.2435,0.7565,0.0
2,300,12,6,2,1,1,104.489,247.23,1.2285,-0.2285,0.0
2,450,12,6,1,1,0,-2.716,7.896,1.1339,-0.1339,0.0
2,600,11,8,2,0,0,-1.679,6.835,0.8308,0.1692,0.0
2,800,10,0,0,0,0,55.178,55.178,0.0,1.0,0.0
2,1200,7,3,0,0,0,4.903,7.037,0.4353,0.5647,0.0
2,1600,5,1,0,1,0,21.247,29.368,0.3671,0.6329,0.0
2,2000,4,2,0,1,0,15.686,17.116,0.0911,0.9089,0.0
3,100,11,9,4,4,0,48.789,72.407,0.3736,0.6264,0.0
3,200,11,5,2,2,0,55.014,109.024,0.8517,0.1483,0.0
3,300,11,7,3,3,0,52.778,63.729,0.1751,0.8249,0.0
3,450,11,6,3,2,0,48.927,57.303,0.1538,0.8462,0.0
3,600,10,5,2,1,0,-0.309,5.371,0.6927,0.3073,0.0
3,800,7,3,2,1,0,53.74,57.592,0.0715,0.9285,0.0
3,1200,6,1,1,0,0,3.899,7.216,0.4397,0.5603,0.0
3,1600,4,2,0,2,0,3.913,7.296,0.4757,0.5243,0.0
3,2000,3,2,1,0,0,10.149,10.392,0.0239,0.9761,0.0
4,100,12,10,4,4,0,48.668,64.679,0.2592,0.7408,0.0
4,200,12,12,5,4,0,102.168,296.344,1.793,-0.793,0.0
4,300,12,8,4,3,0,158.201,254.726,0.5894,0.4106,0.0
4,450,11,8,4,0,0,247.447,259.988,0.0486,0.9514,0.0
4,600,9,4,2,1,0,6.856,11.35,0.4111,0.5889,0.0
