n_requested,n_actual,grid,cells_per_robot,seed,metric,value
10,10,90,810.0,31,steps_run,1500
10,10,90,810.0,31,survivors,9
10,10,90,810.0,31,final_cov,97.47
10,10,90,810.0,31,final_found,7
10,10,90,810.0,31,found_frac,0.778
10,10,90,810.0,31,deaths,1
10,10,90,810.0,31,hazard_deaths,0
10,10,90,810.0,31,battery_deaths,1
10,10,90,810.0,31,peak_relays,6
10,10,90,810.0,31,t_first_found,62
10,10,90,810.0,31,t_half_found,178
10,10,90,810.0,31,t_all_found,-1
10,10,90,810.0,31,completed,0
10,10,90,810.0,31,wall_s,47.8
10,10,90,810.0,31,step_mean_ms,31.873
10,10,90,810.0,31,step_p50_ms,33.826
10,10,90,810.0,31,step_p90_ms,38.799
10,10,90,810.0,31,step_max_ms,58.101
10,10,90,810.0,31,ground_mean_ms,9.424
10,10,90,810.0,31,ground_p90_ms,13.811
10,10,90,810.0,31,astar_sum_mean_ms,22.449
10,10,90,810.0,31,astar_max_mean_ms,5.108
10,10,90,810.0,31,astar_max_p90_ms,5.838
10,10,90,810.0,31,dist_mean_ms,14.532
10,10,90,810.0,31,dist_p90_ms,18.856
10,10,90,810.0,31,role_ms,1.311
10,10,90,810.0,31,alloc_ms,0.285
10,10,90,810.0,31,relay_cover_ms,0.035
10,10,90,810.0,31,explorer_move_ms,25.582
10,10,90,810.0,31,relay_move_ms,0.404
10,10,90,810.0,31,astar_explorer_ms,22.275
10,10,90,810.0,31,astar_relay_ms,0.174
10,10,90,810.0,31,other_ms,4.256
10,10,90,810.0,31,step_ms_per_robot,3.1873
10,10,90,810.0,31,ground_ms_per_robot,0.9424
10,10,90,810.0,31,role_ms_per_robot,0.1311
10,10,90,810.0,31,alloc_ms_per_robot,0.0285
10,10,90,810.0,31,relay_cover_ms_per_robot,0.0035
10,10,90,810.0,31,explorer_move_ms_per_robot,2.5582
10,10,90,810.0,31,relay_move_ms_per_robot,0.0404
10,10,90,810.0,32,steps_run,1500
10,10,90,810.0,32,survivors,9
10,10,90,810.0,32,final_cov,97.58
10,10,90,810.0,32,final_found,7
10,10,90,810.0,32,found_frac,0.778
10,10,90,810.0,32,deaths,3
10,10,90,810.0,32,hazard_deaths,0
10,10,90,810.0,32,battery_deaths,3
10,10,90,810.0,32,peak_relays,5
10,10,90,810.0,32,t_first_found,29
10,10,90,810.0,32,t_half_found,213
10,10,90,810.0,32,t_all_found,-1
10,10,90,810.0,32,completed,0
10,10,90,810.0,32,wall_s,22.2
10,10,90,810.0,32,step_mean_ms,14.788
10,10,90,810.0,32,step_p50_ms,10.994
10,10,90,810.0,32,step_p90_ms,30.571
10,10,90,810.0,32,step_max_ms,58.722
10,10,90,810.0,32,ground_mean_ms,8.286
10,10,90,810.0,32,ground_p90_ms,14.286
10,10,90,810.0,32,astar_sum_mean_ms,6.502
10,10,90,810.0,32,astar_max_mean_ms,2.14
10,10,90,810.0,32,astar_max_p90_ms,5.929
10,10,90,810.0,32,dist_mean_ms,10.426
10,10,90,810.0,32,dist_p90_ms,19.687
10,10,90,810.0,32,role_ms,1.836
10,10,90,810.0,32,alloc_ms,0.29
10,10,90,810.0,32,relay_cover_ms,0.063
10,10,90,810.0,32,explorer_move_ms,8.443
10,10,90,810.0,32,relay_move_ms,0.126
10,10,90,810.0,32,astar_explorer_ms,6.488
10,10,90,810.0,32,astar_relay_ms,0.014
10,10,90,810.0,32,other_ms,4.031
10,10,90,810.0,32,step_ms_per_robot,1.4788
10,10,90,810.0,32,ground_ms_per_robot,0.8286
