n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
10,10,90,810.0,61,1500,9,91.85,6,0.667,2,0,2,6,6,113,-1,0,48.2,32.098,34.398,46.496,61.651,10.808,15.198,21.29,4.111,5.875,14.919,18.784,1.266,0.333,0.059,24.767,0.518,21.019,0.271,5.155,3.2098,1.0808,0.1266,0.0333,0.0059,2.4767,0.0518
10,10,90,810.0,62,421,9,94.06,9,1.0,0,0,0,6,86,139,421,1,8.2,19.58,16.15,32.01,61.249,13.214,16.268,6.366,2.896,6.232,16.11,21.861,2.642,0.401,0.257,8.113,0.449,6.321,0.044,7.717,1.958,1.3214,0.2642,0.0401,0.0257,0.8113,0.0449
10,10,90,810.0,63,289,9,76.69,9,1.0,0,0,0,5,39,73,289,1,5.5,19.134,18.072,25.342,43.831,13.845,16.057,5.289,1.92,2.208,15.766,19.402,1.606,0.434,0.237,9.222,0.412,5.251,0.038,7.223,1.9134,1.3845,0.1606,0.0434,0.0237,0.9222,0.0412
10,10,90,810.0,64,836,9,97.62,9,1.0,1,0,1,6,1,210,836,1,26.1,31.203,32.344,49.414,70.742,10.901,13.114,20.302,4.467,6.41,15.368,19.19,1.689,0.391,0.088,22.449,0.406,20.278,0.023,6.18,3.1203,1.0901,0.1689,0.0391,0.0088,2.2449,0.0406
10,10,90,810.0,65,1500,9,98.05,6,0.667,2,0,2,5,1,92,-1,0,25.1,16.759,10.428,38.141,63.474,6.541,11.614,10.218,2.297,5.798,8.838,15.468,0.954,0.227,0.059,12.317,0.175,10.201,0.017,3.028,1.6759,0.6541,0.0954,0.0227,0.0059,1.2317,0.0175
10,10,90,810.0,66,1500,9,94.95,4,0.444,1,0,1,5,1,505,-1,0,34.5,22.98,22.261,28.081,46.662,8.32,12.583,14.66,4.09,5.032,12.41,17.296,1.88,0.222,0.07,16.764,0.731,14.56,0.1,3.312,2.298,0.832,0.188,0.0222,0.007,1.6764,0.0731
10,10,90,810.0,67,522,9,82.98,9,1.0,0,0,0,7,64,85,522,1,10.2,19.537,18.307,28.907,44.38,12.721,16.008,6.816,2.625,6.409,15.346,21.21,1.227,0.514,0.356,7.606,2.148,5.415,1.402,7.687,1.9537,1.2721,0.1227,0.0514,0.0356,0.7606,0.2148
10,10,90,810.0,68,237,9,72.36,9,1.0,0,0,0,5,20,84,237,1,3.6,15.369,14.148,19.7,75.361,13.833,16.177,1.536,1.086,2.408,14.919,18.547,3.62,0.345,0.411,3.03,0.57,1.431,0.105,7.393,1.5369,1.3833,0.362,0.0345,0.0411,0.303,0.057
10,10,90,810.0,69,424,9,83.0,9,1.0,0,0,0,6,1,104,424,1,6.1,14.328,12.609,23.091,51.803,11.512,13.857,2.816,1.804,5.697,13.316,18.107,1.729,0.461,0.267,3.498,1.083,2.278,0.538,7.29,1.4328,1.1512,0.1729,0.0461,0.0267,0.3498,0.1083
10,10,90,810.0,70,1500,9,97.46,7,0.778,3,0,3,6,1,134,-1,0,25.1,16.761,13.619,31.309,58.908,9.861,14.056,6.901,2.22,5.944,12.081,18.747,1.608,0.436,0.104,8.708,0.204,6.883,0.018,5.703,1.6761,0.9861,0.1608,0.0436,0.0104,0.8708,0.0204
10,10,90,810.0,71,1500,9,96.09,8,0.889,3,0,3,6,1,360,-1,0,30.8,20.545,18.038,39.305,49.219,8.864,11.995,11.68,3.588,6.604,12.452,16.181,1.728,0.342,0.109,12.248,1.473,10.864,0.817,4.645,2.0545,0.8864,0.1728,0.0342,0.0109,1.2248,0.1473
10,10,90,810.0,72,1500,9,95.14,7,0.778,1,0,1,5,12,239,-1,0,46.3,30.882,32.843,37.199,58.183,9.28,13.999,21.601,5.423,6.329,14.703,18.837,1.478,0.323,0.065,24.635,0.285,21.59,0.011,4.096,3.0882,0.928,0.1478,0.0323,0.0065,2.4635,0.0285
10,10,90,810.0,73,783,9,95.85,9,1.0,3,0,3,5,23,167,783,1,16.2,20.624,19.29,36.067,56.514,11.096,15.459,9.528,3.41,6.161,14.506,20.285,1.502,0.321,0.187,12.476,0.316,9.483,0.045,5.822,2.0624,1.1096,0.1502,0.0321,0.0187,1.2476,0.0316
10,10,90,810.0,74,1500,9,95.65,6,0.667,3,0,3,7,9,136,-1,0,35.4,23.589,21.965,37.687,57.314,9.576,13.527,14.013,4.172,6.33,13.748,18.847,0.98,0.393,0.147,16.964,0.31,13.983,0.03,4.795,2.3589,0.9576,0.098,0.0393,0.0147,1.6964,0.031
